service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20180404,20180531
2,1,1,1,1,1,0,0,20180404,20180427
3,1,1,1,1,1,0,0,20180404,20180406
4,1,1,1,1,1,0,0,20180404,20180531
5,1,1,1,1,1,0,0,20180404,20180531
6,1,1,1,1,1,0,0,20180404,20180531
7,1,1,1,1,1,0,0,20180404,20180531
8,1,1,1,1,1,0,0,20180404,20180416
9,1,1,1,1,1,0,0,20180404,20180406
10,1,1,1,1,1,0,0,20180404,20180530
11,1,1,1,1,1,0,0,20180404,20180413
12,1,1,1,1,1,0,0,20180404,20180430
13,1,1,1,1,1,0,0,20180404,20180531
14,1,1,1,1,1,0,0,20180404,20180531
15,1,1,1,1,1,0,0,20180404,20180424
16,1,1,1,1,1,0,0,20180404,20180531
17,1,1,1,1,1,0,0,20180404,20180530
18,1,1,1,1,0,0,1,20180403,20180426
19,1,1,1,1,0,0,1,20180403,20180423
20,1,1,1,1,0,0,1,20180403,20180405
21,1,1,1,1,1,0,0,20180404,20180430
22,1,1,1,1,1,0,0,20180404,20180525
23,1,1,1,1,1,0,0,20180404,20180525
24,1,1,1,1,1,0,0,20180404,20180427
25,1,1,1,1,1,0,0,20180404,20180530
26,1,1,1,1,1,0,0,20180404,20180504
27,1,1,1,1,1,0,0,20180404,20180426
28,1,1,1,1,1,0,0,20180404,20180518
29,1,1,1,1,0,0,0,20180404,20180531
30,0,1,1,1,1,0,0,20180405,20180601
31,1,1,1,1,1,0,0,20180404,20180430
32,1,1,1,1,1,0,0,20180404,20180405
33,1,1,1,1,1,0,0,20180404,20180517
34,1,1,1,1,1,0,0,20180404,20180430
35,1,1,1,1,1,0,0,20180405,20180531
36,1,1,1,1,1,0,0,20180405,20180531
37,1,1,1,1,1,0,0,20180405,20180426
38,1,1,1,1,1,0,0,20180405,20180531
39,1,1,1,1,1,0,0,20180406,20180525
40,1,1,1,1,1,0,0,20180406,20180525
41,1,1,1,1,1,0,0,20180406,20180528
42,1,1,1,1,1,0,0,20180406,20180406
43,1,1,1,1,1,0,0,20180406,20180427
44,1,1,1,1,1,0,0,20180406,20180430
45,0,0,0,0,1,0,0,20180406,20180525
46,0,0,0,0,0,1,0,20180407,20180526
47,1,1,1,1,1,0,0,20180406,20180518
48,0,0,0,0,0,1,1,20180407,20180527
49,0,0,0,0,0,1,1,20180407,20180526
50,0,0,0,0,0,1,1,20180407,20180526
51,0,0,0,0,0,1,1,20180407,20180526
52,0,0,0,0,0,1,1,20180407,20180526
53,0,0,0,0,0,1,1,20180407,20180408
54,0,0,0,0,0,1,1,20180407,20180526
55,0,0,0,0,0,1,1,20180407,20180407
56,0,0,0,0,0,1,1,20180407,20180429
57,0,0,0,0,0,1,1,20180407,20180421
58,0,0,0,0,0,1,1,20180407,20180428
59,0,0,0,0,1,1,0,20180406,20180526
60,0,0,0,0,1,1,0,20180406,20180421
61,0,0,0,0,0,1,1,20180407,20180422
62,0,0,0,0,0,1,0,20180407,20180407
63,0,0,0,0,0,1,1,20180407,20180520
64,0,0,0,0,0,1,1,20180407,20180527
65,1,0,0,0,0,0,1,20180408,20180528
66,0,0,0,0,0,1,1,20180407,20180505
67,0,0,0,0,0,1,1,20180407,20180519
68,0,0,0,0,0,1,1,20180407,20180415
69,0,0,0,0,0,1,1,20180407,20180414
70,0,0,0,0,0,1,1,20180408,20180527
71,0,0,0,0,0,1,1,20180408,20180527
72,0,0,0,0,0,1,1,20180408,20180527
73,0,0,0,0,0,1,1,20180408,20180527
74,0,0,0,0,0,1,1,20180408,20180527
75,0,0,0,0,0,1,1,20180408,20180408
76,0,0,0,0,0,1,1,20180408,20180422
77,0,0,0,0,0,1,1,20180408,20180527
78,0,0,0,0,0,1,1,20180408,20180429
79,0,0,0,0,0,0,1,20180408,20180408
80,0,0,0,0,0,1,1,20180408,20180520
81,0,0,0,0,0,0,1,20180408,20180527
82,0,0,0,0,0,1,1,20180408,20180501
83,0,0,0,0,0,1,1,20180408,20180508
84,0,0,0,0,0,1,1,20180408,20180520
85,0,0,0,0,0,1,1,20180408,20180415
86,1,1,1,1,1,0,0,20180409,20180531
87,1,1,1,1,1,0,0,20180409,20180430
88,1,1,1,1,1,0,0,20180409,20180528
89,1,1,1,1,1,0,0,20180409,20180528
90,1,1,1,1,1,0,0,20180409,20180525
91,1,1,1,1,1,0,0,20180409,20180531
92,1,1,1,1,1,0,0,20180409,20180427
93,1,1,1,1,0,0,1,20180408,20180423
94,1,1,1,1,1,0,0,20180409,20180424
95,1,1,1,1,1,0,0,20180409,20180531
96,1,1,1,1,1,0,0,20180410,20180531
97,1,1,1,1,1,0,0,20180410,20180522
98,1,1,1,1,1,0,0,20180410,20180424
99,1,1,1,1,1,0,0,20180413,20180525
100,0,0,0,0,0,1,1,20180414,20180527
101,0,0,0,0,0,1,1,20180414,20180526
102,0,0,0,0,0,1,1,20180414,20180526
103,0,0,0,0,0,1,1,20180414,20180526
