service_id,date,exception_type
1,20180501,2
1,20180508,2
4,20180406,2
4,20180413,2
4,20180420,2
4,20180427,2
4,20180501,2
4,20180504,2
4,20180508,2
4,20180511,2
4,20180518,2
4,20180525,2
5,20180409,2
5,20180416,2
5,20180423,2
5,20180501,2
5,20180502,2
5,20180508,2
5,20180509,2
5,20180514,2
5,20180521,2
5,20180528,2
6,20180409,2
6,20180416,2
6,20180423,2
6,20180430,2
6,20180501,2
6,20180502,2
6,20180507,2
6,20180508,2
6,20180509,2
6,20180514,2
6,20180521,2
6,20180528,2
7,20180406,2
7,20180413,2
7,20180420,2
7,20180427,2
7,20180430,2
7,20180501,2
7,20180504,2
7,20180507,2
7,20180508,2
7,20180511,2
7,20180518,2
7,20180525,2
9,20180405,2
10,20180501,2
10,20180508,2
10,20180510,2
10,20180521,2
13,20180406,2
13,20180409,2
13,20180413,2
13,20180416,2
13,20180420,2
13,20180423,2
13,20180427,2
13,20180430,2
13,20180501,2
13,20180504,2
13,20180507,2
13,20180508,2
13,20180511,2
13,20180514,2
13,20180518,2
13,20180521,2
13,20180525,2
13,20180528,2
14,20180409,2
14,20180410,2
14,20180411,2
14,20180412,2
14,20180413,2
14,20180423,2
14,20180424,2
14,20180425,2
14,20180426,2
14,20180427,2
14,20180501,2
14,20180507,2
14,20180508,2
14,20180509,2
14,20180510,2
14,20180511,2
14,20180521,2
14,20180522,2
14,20180523,2
14,20180524,2
14,20180525,2
16,20180430,2
16,20180501,2
16,20180507,2
16,20180508,2
17,20180405,2
17,20180406,2
17,20180410,2
17,20180412,2
17,20180413,2
17,20180417,2
17,20180419,2
17,20180420,2
17,20180424,2
17,20180426,2
17,20180427,2
17,20180501,2
17,20180503,2
17,20180504,2
17,20180508,2
17,20180510,2
17,20180511,2
17,20180515,2
17,20180517,2
17,20180518,2
17,20180522,2
17,20180524,2
17,20180525,2
17,20180529,2
21,20180406,2
21,20180413,2
21,20180420,2
21,20180427,2
22,20180501,2
22,20180508,2
23,20180410,2
23,20180417,2
23,20180424,2
23,20180501,2
23,20180508,2
23,20180515,2
23,20180522,2
24,20180405,2
24,20180410,2
24,20180412,2
24,20180417,2
24,20180419,2
24,20180424,2
24,20180426,2
25,20180405,2
25,20180410,2
25,20180412,2
25,20180417,2
25,20180419,2
25,20180424,2
25,20180426,2
25,20180501,2
25,20180503,2
25,20180508,2
25,20180510,2
25,20180515,2
25,20180517,2
25,20180522,2
25,20180524,2
25,20180529,2
26,20180501,2
27,20180406,2
27,20180409,2
27,20180413,2
27,20180416,2
27,20180420,2
27,20180423,2
28,20180501,2
28,20180508,2
29,20180501,2
29,20180508,2
30,20180502,2
30,20180509,2
31,20180410,2
31,20180417,2
31,20180424,2
33,20180406,2
33,20180409,2
33,20180410,2
33,20180413,2
33,20180416,2
33,20180417,2
33,20180420,2
33,20180423,2
33,20180424,2
33,20180427,2
33,20180430,2
33,20180501,2
33,20180504,2
33,20180507,2
33,20180508,2
33,20180511,2
33,20180514,2
33,20180515,2
34,20180405,2
34,20180410,2
34,20180412,2
34,20180417,2
34,20180419,2
34,20180424,2
34,20180426,2
35,20180406,2
35,20180501,2
35,20180508,2
36,20180409,2
36,20180411,2
36,20180416,2
36,20180418,2
36,20180423,2
36,20180425,2
36,20180430,2
36,20180501,2
36,20180502,2
36,20180507,2
36,20180508,2
36,20180509,2
36,20180514,2
36,20180516,2
36,20180521,2
36,20180523,2
36,20180528,2
36,20180530,2
37,20180406,2
37,20180409,2
37,20180411,2
37,20180413,2
37,20180416,2
37,20180418,2
37,20180420,2
37,20180423,2
37,20180425,2
38,20180406,2
38,20180409,2
38,20180411,2
38,20180413,2
38,20180416,2
38,20180418,2
38,20180420,2
38,20180423,2
38,20180425,2
38,20180427,2
38,20180430,2
38,20180501,2
38,20180502,2
38,20180504,2
