route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
L100D99,99,LOĎ,"Bystrc - Rokle - Veverská Bítýška",4,393183,FFFFFF
L104D99,99,104,"Laa an der Thaya - Hevlín - Hrušovany nad Jevišovkou - Vlasatice - Pohořelice - Brno",3,00E68C,
L105D99,99,105,"Mikulov - Dolní Dunajovice - Pasohlávky - Pohořelice - Sobotovice - Modřice - Brno",3,00E68C,
L106D99,99,106,"Kyjov - Dražůvky - Žarošice - Slavkov u Brna - Brno",3,00E68C,
L107D99,99,107,"Vyškov - Rousínov - Brno",3,00E68C,
L108D99,99,108,"Znojmo - Lechovice - Pohořelice - Modřice - Brno",3,00E68C,
L109D99,99,109,"Hodonín - Mutěnice - Čejč - Klobouky u Brna - Telnice - Brno",3,00E68C,
L10D99,99,10,"Stránská skála - Nové sady",0,A05A2C,FFFFFF
L114D99,99,xS8,"NÁHRADNÍ DOPRAVA ZA VLAK Znojmo - Božice",3,AAFF7F,
L116D99,99,xS91,"NÁHRADNÍ DOPRAVA ZA VLAK Vrbovce - Veselí nad Moravou",3,AAFF7F,
L11D99,99,11,"Lesná, Čertova rokle - Bystrc, Rakovecká",0,AFCA28,FFFFFF
L120D99,99,S2,"Březová nad Svitavou - Letovice - Skalice nad Svitavou - Blansko - Brno - Sokolnice - Křenovice",2,800000,FFFFFF
L121D99,99,S21,"Skalice nad Svitavou - Boskovice - Velké Opatovice",2,800000,FFFFFF
L123D99,99,R9,"Tišnov - Kuřim - Brno",2,800000,FFFFFF
L124D99,99,R11,"Brno - Náměšť nad Oslavou",2,800000,FFFFFF
L125D99,99,R19,"Brno - Blansko - Letovice - Březová nad Svitavou",2,800000,FFFFFF
L126D99,99,R56,"Brno - Slavkov u Brna - Bučovice - Kyjov - Veselí nad Moravou",2,800000,FFFFFF
L127D99,99,S71,"Vyškov - Ivanovice na Hané - Nezamyslice",2,800000,FFFFFF
L128D99,99,S8,"Břeclav - Valtice - Mikulov - Hrušovany nad Jevišovkou - Znojmo",2,800000,FFFFFF
L12D99,99,12,"Technologický park - Komárov",0,00CCFF,FFFFFF
L130D99,99,S3,"Břeclav - Zaječí - Šakvice - Vranovice - Brno hl.n. - Tišnov - Níhov",2,800000,FFFFFF
L131D99,99,S31,"Tišnov - Nedvědice - Bystřice nad Pernštejnem - Rovné-Divišov",2,800000,FFFFFF
L132D99,99,S51,"Šakvice - Hustopeče",2,800000,FFFFFF
L133D99,99,S52,"Hodonín - Mutěnice - Čejč - Zaječí",2,800000,FFFFFF
L134D99,99,S53,"Lanžhot - Břeclav",2,800000,FFFFFF
L135D99,99,R13,"Brno - Břeclav - Hodonín - Moravský Písek",2,800000,FFFFFF
L137D99,99,S82,"Znojmo - Šatov",2,800000,FFFFFF
L138D99,99,S81,"Znojmo - Moravské Budějovice",2,800000,FFFFFF
L139D99,99,S9,"Moravský Písek - Hodonín - Břeclav",2,800000,FFFFFF
L140D99,99,S4,"Brno - Střelice - Rosice - Zastávka - Rapotice - Kralice nad Oslavou - Náměšť nad Oslavou",2,800000,FFFFFF
L141D99,99,S41,"Oslavany - Ivančice - Moravské Bránice - Střelice - Brno Miroslav - Moravský Krumlov - Moravské Bránice - Střelice - Brno",2,800000,FFFFFF
L142D99,99,S42,"Miroslav - Hrušovany nad Jevišovkou",2,800000,FFFFFF
L143D99,99,ExPP,"Brno - Břeclav - Mikulov - Znojmo - Šatov",2,800000,FFFFFF
L144D99,99,R12,"Brno - Vyškov - Nezamyslice",2,800000,FFFFFF
L146D99,99,S6,"Veselí nad Moravou - Kyjov - Bučovice - Slavkov u Brna - Šlapanice - Brno",2,800000,FFFFFF
L147D99,99,R8,"Brno - Vyškov na Moravě",2,800000,FFFFFF
L148D99,99,S61,"Bzenec - Moravský Písek",2,800000,FFFFFF
L149D99,99,S91,"Myjava - Javorník nad Veličkou - Velká nad Veličkou - Veselí nad Moravou - Strážnice - Hodonín",2,800000,FFFFFF
L151D99,99,151,"Židlochovice - Měnín - Sokolnice - Kobylnice - Šlapanice - Brno",3,AAFF7F,
L152D99,99,152,"Blansko - Lipůvka - Kuřim",3,AAFF7F,
