stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
U15775Z2,"Hevlín, škola",48.751285,16.380187,"570",0,U15775N1,2
U15773Z2,"Hevlín, cihelna",48.761387,16.38346,"570",0,U15773N2,2
U15627Z2,"Hrabětice",48.796862,16.395222,"560",0,U15627N3,2
U15640Z2,"Šanov, u mostu",48.799235,16.386832,"560",0,U15640N4,2
U15639Z2,"Šanov, požární zbrojnice",48.802143,16.373927,"560",0,U15639N5,2
U15637Z2,"Hrušovany nad Jevišovkou, žel. st.",48.810465,16.38336,"560",0,U15637N6,2
U15628Z2,"Hrabětice, rozcestí",48.811255,16.39406,"560",0,U15628N7,2
U15634Z2,"Hrušovany nad Jevišovkou, statek",48.817402,16.397767,"560",0,U15634N8,2
U15631Z2,"Hrušovany nad Jevišovkou, lékárna",48.828765,16.399643,"560",0,U15631N9,2
U15632Z1,"Hrušovany nad Jevišovkou, Lidická, VÚPP",48.831472,16.401928,"560",0,U15632N10,2
U15635Z2,"Hrušovany nad Jevišovkou, STS",48.842858,16.403833,"560",0,U15635N11,2
U15553Z2,"Litobratřice, u konírny",48.883577,16.400955,"550",0,U15553N12,2
U15554Z2,"Litobratřice, obecní úřad",48.887875,16.403302,"550",0,U15554N13,2
U15552Z2,"Jiřice u Miroslavi",48.920697,16.39138,"550",0,U15552N14,2
U15430Z2,"Troskotovice, prodejna",48.918625,16.432717,"540",0,U15430N15,2
U15431Z2,"Troskotovice, škola",48.918848,16.436795,"540",0,U15431N16,2
U15429Z2,"Troskotovice, hřbitov",48.922002,16.441158,"540",0,U15429N17,2
U15434Z2,"Vlasatice, Troskotovická",48.931067,16.48339,"540",0,U15434N18,2
U15433Z2,"Vlasatice, obecní úřad",48.933743,16.484258,"540",0,U15433N19,2
U15325Z1,"Pohořelice, Velký Dvůr, rozcestí",48.96221,16.519497,"530",0,U15325N20,2
U15368Z1,"Pohořelice, průmyslová zóna jih",48.971418,16.517022,"530",0,U15368N21,2
U15327Z1,"Pohořelice, Městský úřad",48.977073,16.515407,"530",0,U15327N22,2
U15317Z3,"Pohořelice, náměstí",48.980853,16.522538,"530",0,U15317N23,2
U15315Z2,"Pohořelice, Brněnská",48.984956,16.530513,"530",0,U15315N24,2
U15379Z2,"Pohořelice, průmyslová zóna východ",48.990539,16.540751,"530",0,U15379N25,2
U15122Z4,"Modřice, Brněnská",49.130132,16.604936,"510",0,U15122N26,2
U1703Z7,"Ústřední hřbitov",49.170741,16.597834,"101",0,U1703N27,1
U1622Z1,"Strážní",49.178207,16.603976,"100",0,U1622N28,2
U1011Z9,"Autobusové nádraží",49.185364,16.616151,"100",0,U1011N29,2
U1622Z2,"Strážní",49.178477,16.603646,"100",0,U1622N28,2
U1703Z6,"Ústřední hřbitov",49.170799,16.597595,"101",0,U1703N27,1
U15137Z10,"Modřice, Tyršova",49.130136,16.603469,"510",0,U15137N30,2
U15379Z1,"Pohořelice, průmyslová zóna východ",48.989921,16.539353,"530",0,U15379N25,2
U15315Z1,"Pohořelice, Brněnská",48.984843,16.529998,"530",0,U15315N24,2
U15317Z4,"Pohořelice, náměstí",48.980769,16.522127,"530",0,U15317N23,2
U15327Z2,"Pohořelice, Městský úřad",48.976752,16.515348,"530",0,U15327N22,2
U15368Z2,"Pohořelice, průmyslová zóna jih",48.971418,16.517022,"530",0,U15368N21,2
U15325Z2,"Pohořelice, Velký Dvůr, rozcestí",48.96186,16.519344,"530",0,U15325N20,2
U15433Z1,"Vlasatice, obecní úřad",48.9337,16.484063,"540",0,U15433N19,2
U15434Z1,"Vlasatice, Troskotovická",48.931128,16.48354,"540",0,U15434N18,2
U15429Z1,"Troskotovice, hřbitov",48.921882,16.440898,"540",0,U15429N17,2
U15431Z1,"Troskotovice, škola",48.918878,16.436692,"540",0,U15431N16,2
U15430Z1,"Troskotovice, prodejna",48.918698,16.43252,"540",0,U15430N15,2
U15552Z1,"Jiřice u Miroslavi",48.920697,16.39138,"550",0,U15552N14,2
U15554Z1,"Litobratřice, obecní úřad",48.888397,16.40314,"550",0,U15554N13,2
U15553Z1,"Litobratřice, u konírny",48.883443,16.400735,"550",0,U15553N12,2
U15635Z1,"Hrušovany nad Jevišovkou, STS",48.842928,16.40373,"560",0,U15635N11,2
U15632Z2,"Hrušovany nad Jevišovkou, Lidická, VÚPP",48.831517,16.401898,"560",0,U15632N10,2
U15631Z1,"Hrušovany nad Jevišovkou, lékárna",48.828742,16.399458,"560",0,U15631N9,2
U15634Z1,"Hrušovany nad Jevišovkou, statek",48.817595,16.39771,"560",0,U15634N8,2
U15628Z1,"Hrabětice, rozcestí",48.811255,16.39406,"560",0,U15628N7,2
U15637Z1,"Hrušovany nad Jevišovkou, žel. st.",48.810462,16.383468,"560",0,U15637N6,2
U15639Z1,"Šanov, požární zbrojnice",48.802093,16.374043,"560",0,U15639N5,2
U15640Z1,"Šanov, u mostu",48.799232,16.386737,"560",0,U15640N4,2
U15627Z1,"Hrabětice",48.796863,16.395113,"560",0,U15627N3,2
U15773Z1,"Hevlín, cihelna",48.76153,16.383382,"570",0,U15773N2,2
U15775Z1,"Hevlín, škola",48.75151,16.380257,"570",0,U15775N1,2
U15843Z1,"Hevlín, LAA BOMBA - SHOPPING CENTER",48.732097,16.38276,"570",0,U15843N31,2
U15829Z1,"Laa an der Thaya, Stadtplatz",48.720393,16.384622,"580",0,U15829N32,2
U15838Z1,"Laa an der Thaya, Bahnhof",48.722881,16.402679,"580",0,U15838N33,2
U15839Z1,"Laa an der Thaya, Therme",48.723047,16.395582,"580",0,U15839N34,2
U15839Z2,"Laa an der Thaya, Therme",48.723047,16.395582,"580",0,U15839N34,2
