route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id
L104D99,1,1,"Autobusové nádraží",1,
L104D99,1,2,"Laa an der Thaya, Therme",1,
L104D99,1,3,"Pohořelice, náměstí",1,
L104D99,1,4,"Laa an der Thaya, Therme",1,
L104D99,1,5,"Autobusové nádraží",1,
L104D99,1,6,"Laa an der Thaya, Therme",1,
L104D99,1,7,"Pohořelice, náměstí",1,
L104D99,1,8,"Hevlín, škola",1,
L104D99,1,9,"Autobusové nádraží",1,
L104D99,1,10,"Laa an der Thaya, Therme",1,
L104D99,1,11,"Autobusové nádraží",1,
L104D99,1,12,"Hrušovany nad Jevišovkou, Lidická, VÚPP",1,
L104D99,1,13,"Autobusové nádraží",1,
L104D99,1,14,"Hevlín, škola",1,
L104D99,1,15,"Laa an der Thaya, Therme",2,
L104D99,1,16,"Autobusové nádraží",2,
L104D99,1,17,"Laa an der Thaya, Therme",2,
L104D99,1,18,"Pohořelice, náměstí",2,
L104D99,1,19,"Autobusové nádraží",1,
L104D99,1,20,"Hevlín, škola",1,
L104D99,1,21,"Autobusové nádraží",1,
L104D99,1,22,"Laa an der Thaya, Therme",1,
L104D99,1,23,"Autobusové nádraží",1,
L104D99,1,24,"Laa an der Thaya, Therme",1,
L104D99,1,25,"Pohořelice, náměstí",1,
L104D99,1,26,"Hevlín, škola",1,
L104D99,1,27,"Hrušovany nad Jevišovkou, žel. st.",1,
L104D99,1,28,"Laa an der Thaya, Therme",1,
L104D99,1,29,"Autobusové nádraží",1,
L104D99,1,30,"Laa an der Thaya, Therme",1,
L104D99,1,31,"Pohořelice, náměstí",1,
L104D99,1,32,"Hevlín, škola",1,
L105D99,1,33,"Autobusové nádraží",1,
L105D99,1,34,"Mikulov, železniční stanice",1,
L105D99,1,35,"Autobusové nádraží",1,
L105D99,1,36,"Mikulov, železniční stanice",1,
L105D99,1,37,"Autobusové nádraží",1,
L105D99,1,38,"Mikulov, železniční stanice",1,
L105D99,1,39,"Autobusové nádraží",1,
L105D99,1,40,"Mikulov, železniční stanice",1,
L105D99,1,41,"Autobusové nádraží",1,
L105D99,1,42,"Mikulov, železniční stanice",1,
L105D99,1,43,"Autobusové nádraží",1,
L105D99,1,44,"Mikulov, železniční stanice",1,
L164D99,1,45,"Pohořelice, náměstí",1,
L105D99,1,46,"Mikulov, železniční stanice",1,
L105D99,1,47,"Autobusové nádraží",1,
L105D99,1,48,"Mikulov, železniční stanice",1,
L105D99,1,49,"Autobusové nádraží",1,
L105D99,1,50,"Mikulov, železniční stanice",1,
L105D99,1,51,"Pohořelice, náměstí",1,
L105D99,1,52,"Mikulov, železniční stanice",1,
L105D99,1,53,"Autobusové nádraží",1,
L105D99,1,54,"Mikulov, železniční stanice",1,
L105D99,1,55,"Pohořelice, náměstí",1,
L164D99,1,56,"Vedrovice, obecní úřad",1,
L164D99,1,57,"Olbramovice, prodejna",1,
L105D99,1,58,"Autobusové nádraží",1,
L105D99,1,59,"Mikulov, železniční stanice",1,
L105D99,1,60,"Autobusové nádraží",1,
L105D99,1,61,"Mikulov, železniční stanice",1,
L105D99,1,62,"Autobusové nádraží",1,
L105D99,1,63,"Mikulov, železniční stanice",1,
L105D99,1,64,"Autobusové nádraží",2,
